Domain,TTL,Record_Type,IP_Address
ns2.teybwpnm.com.,171603,A,"188.25.32.89"""
ns4.teybwpnm.com.,171603,A,"89.133.230.175"""
ns1.dneuine.com.,171603,A,"72.185.78.169"""
ns2.dneuine.com.,171603,A,"200.50.243.162"""
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
ns4.teybwpnm.com.,166291,A,"78.96.212.238"""
ns1.dneuine.com.,166291,A,"186.18.20.92"""
ns2.dneuine.com.,166291,A,"200.50.245.149"""
ns2.teybwpnm.com.,166291,A,"118.176.49.253"""
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
odtions.cn.,,IN,A
ns4.teybwpnm.com.,153165,A,"62.57.212.134"""
ns1.dneuine.com.,153165,A,"83.103.134.205"""
ns2.dneuine.com.,153165,A,"89.133.235.197"""
ns2.teybwpnm.com.,153165,A,"121.178.39.119"""
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
ns2.teybwpnm.com.,166447,A,"118.176.49.253"""
ns4.teybwpnm.com.,166447,A,"78.96.212.238"""
ns2.dneuine.com.,166447,A,"200.50.245.149"""
ns1.dneuine.com.,166447,A,"186.18.20.92"""
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
odthi.cn.,,IN,A
ns2.teybwpnm.com.,153182,A,"121.178.39.119"""
ns4.teybwpnm.com.,153182,A,"62.57.212.134"""
ns2.dneuine.com.,153182,A,"89.133.235.197"""
ns1.dneuine.com.,153182,A,"83.103.134.205"""
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
ns4.teybwpnm.com.,120764,A,"87.110.53.224"""
ns2.dneuine.com.,120764,A,"114.76.3.253"""
ns1.dneuine.com.,120764,A,"72.185.78.169"""
ns2.teybwpnm.com.,120764,A,"125.31.177.68"""
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
